url,city,price,year,manufacturer,make,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,image_url,lat,long
https://amarillo.craigslist.org/cto/d/2006-ford-250/6718322468.html,amarillo,12000,2006,ford,f-250,good,"8 cylinders",gas,155000,lien,automatic,,4wd,full-size,pickup,white,https://images.craigslist.org/00H0H_2u7BHXI2H95_600x450.jpg,35.548303,-101.861768
https://amarillo.craigslist.org/cto/d/99-mitsubishi-montero-sport/6714383080.html,amarillo,2800,1999,mitsubishi,"montero sport",,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00o0o_6GiFmlOzTw0_600x450.jpg,35.2309,-101.806
https://amarillo.craigslist.org/cto/d/x4-lariat-package/6710932357.html,amarillo,8500,2005,ford,f-150,,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00n0n_l4uLlqjzeNA_600x450.jpg,35.105651,-101.357083
https://amarillo.craigslist.org/cto/d/1970-olds-toronado-gt/6702165436.html,amarillo,8500,1970,,"Olds toronado",,,gas,,clean,automatic,,,,,,https://images.craigslist.org/00101_kHOYFpnQ1Ix_600x450.jpg,37.926167,-102.659742
https://amarillo.craigslist.org/cto/d/2005-f350-bulletproof-fx4/6713528633.html,amarillo,13000,2005,ford,f-350,good,"8 cylinders",diesel,213000,clean,automatic,,4wd,full-size,pickup,,https://images.craigslist.org/00D0D_4MdK6D9acS1_600x450.jpg,28.168742,-96.38947
https://amarillo.craigslist.org/cto/d/2010-chevrolet-camaro-ss/6693536583.html,amarillo,17000,2010,chevy,"camaro ss","like new","8 cylinders",gas,,clean,automatic,,rwd,,coupe,,https://images.craigslist.org/00P0P_cbZ2sIBUE07_600x450.jpg,35.098608,-101.738783
https://amarillo.craigslist.org/cto/d/2015-cadillac-escalade-luxury/6708161153.html,amarillo,45000,2015,cadillac,"escalade luxury",,,gas,37762,rebuilt,automatic,,,,SUV,custom,https://images.craigslist.org/01717_eAU37W2BKil_600x450.jpg,35.4015,-101.8951
https://amarillo.craigslist.org/cto/d/oneowner-05jeep-grandcherokee/6711444765.html,amarillo,1000,2005,jeep,"grand cherokee","like new",,gas,,clean,automatic,,,,,,https://images.craigslist.org/01111_i9ikdIVvqBU_600x450.jpg,35.098608,-101.738783
https://amarillo.craigslist.org/cto/d/1979-chevy-impala/6718201175.html,amarillo,5500,1979,chevrolet,impala,excellent,"8 cylinders",gas,111000,clean,automatic,,rwd,compact,sedan,yellow,https://images.craigslist.org/00808_7K76VpoN5YI_600x450.jpg,34.9772,-101.9247
https://amarillo.craigslist.org/cto/d/2018-ford-focus-sel-like-new/6706739788.html,amarillo,11995,2018,ford,"focus sel","like new","4 cylinders",gas,55,rebuilt,automatic,,fwd,compact,sedan,black,https://images.craigslist.org/00a0a_e5zTQFbk58s_600x450.jpg,34.984601,-101.987629
https://amarillo.craigslist.org/cto/d/2013-ford-focus-st-20l-turbo/6702881967.html,amarillo,9995,2013,ford,"focus st",excellent,"4 cylinders",gas,61500,rebuilt,manual,,fwd,,,,https://images.craigslist.org/01313_a9O0e2hjrxA_600x450.jpg,34.984862,-101.988316
https://amarillo.craigslist.org/cto/d/2007-ford-150-lariat-2wd/6696179973.html,amarillo,7995,2007,ford,"f-150 lariat",good,"8 cylinders",gas,208600,clean,automatic,,rwd,,,green,https://images.craigslist.org/00I0I_gO7rWRa37Ot_600x450.jpg,34.984159,-101.988144
https://amarillo.craigslist.org/cto/d/2017-ford-focus-se-very-nice/6694261070.html,amarillo,8995,2017,ford,"focus se","like new","4 cylinders",gas,14900,rebuilt,automatic,,fwd,,,silver,https://images.craigslist.org/00P0P_jj8HkRtDhfp_600x450.jpg,34.9843,-101.987114
https://amarillo.craigslist.org/ctd/d/2016-dodge-ram-4500-crew/6718212231.html,amarillo,49900,2016,dodge,4500,"like new","6 cylinders",diesel,,clean,automatic,,4wd,full-size,truck,grey,https://images.craigslist.org/00h0h_liePvaostmQ_600x450.jpg,34.7714,-96.9763
https://amarillo.craigslist.org/cto/d/2005-dodge-ram-3500-crew-cab/6709351164.html,amarillo,14500,2005,ram,"3500 drw 4wd",good,"6 cylinders",diesel,,clean,automatic,,4wd,full-size,truck,white,https://images.craigslist.org/00A0A_arBUQn8cKkm_600x450.jpg,35.538,-100.9579
